fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes
1,Aad Fort,,Ratnagiri,Dapoli,17.7125,73.2391,Aad,Giri Durg (Hill Fort),250,In Ruins,Maratha Empire,Unknown,Unknown,Minor watchtower fort,Easy,1,Winter,None,None,FALSE,A small  lesser-known fort covered in dense vegetation.
2,Achala Fort,,Nashik,Satana,20.4578,74.0536,Pimpalgaon,Giri Durg (Hill Fort),1372,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Part of Satmala hill range forts; Captured by British in 1818,Medium,2,Winter,Seasonal,None,FALSE,"Twin fort to Ahivantgad, offers great views of the region."
3,Achalpur Fort,Ellichpur Fort,Amravati,Achalpur,21.2612,77.5143,Achalpur,Bhuikot (Land Fort),358,In Ruins,Vatsagulma dynasty; Bahmani Sultanate,Ahmad Shah Bahmani,c. 1425,Capital of Berar Sultanate,Easy,0.5,Winter,None,None,TRUE,"Located inside the city, known for its massive gates and walls."
4,Adas Fort,,Satara,Khatav,17.6534,74.6543,Adas,Giri Durg (Hill Fort),937,In Ruins,Maratha Empire,Unknown,c. 17th Century,Minor watchtower fort,Easy,1,Post-Monsoon,None,None,FALSE,A small fort primarily used as a watch post.
5,Ahiwantgad,,Nashik,Satana,20.4533,74.0494,Pimpalgaon,Giri Durg (Hill Fort),1385,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Treaty of Purandar; Captured by British,Medium,2,Winter,Year-round in cisterns,Caves,FALSE,"Twin fort to Achala fort, features large caves and water cisterns."
6,Ahmednagar Fort,,Ahilyanagar,Ahilyanagar,19.0987,74.7297,Ahilyanagar,Bhuikot (Land Fort),750,Well-Preserved,Nizam Shahi,Malik Ahmed Nizam Shah I,c. 1427,"Imprisonment of Jawaharlal Nehru and other freedom fighters during Quit India Movement, 1942",Easy,1,All Seasons,Not applicable,None,TRUE,One of the best-designed land forts in India; currently under Indian military control.
7,Ajinkyatara,,Satara,Satara,17.6687,73.9877,Satara,Giri Durg (Hill Fort),1009,Partially Ruined,Shilahara Dynasty; Maratha Empire,Bhoj II,c. 1190,Capital of the Satara state; Captured by British in 1818,Easy,1.5,All Seasons,Bottled water sold,None,TRUE,Overlooks Satara city; accessible by road; popular for morning walks.
8,Ajmera,,Satara,Koregaon,17.7811,74.1925,Ajmerya,Giri Durg (Hill Fort),1100,In Ruins,Maratha Empire,Unknown,Unknown,Small watchtower fort,Easy,1,Winter,None,None,FALSE,"A lesser-known fort, offers good views of the surrounding region."
9,Ajoba,Ajobagad,Pune,Junnar,19.3308,73.6744,Dehene,Giri Durg (Hill Fort),1375,Pinnacle,Unknown,Unknown,Ancient,"Pilgrimage site for Valmiki Rishi; has a ""cradle of Sita"" pinnacle",Hard,4,Winter,Seasonal,Valmiki Ashram; Caves,FALSE,Primarily a pilgrimage trek with some fortifications near the top.
10,Akluj Fort,,Solapur,Akluj,17.8933,75.0211,Akluj,Bhuikot (Land Fort),518,Well-Preserved,Maratha Empire,Acquired by Sarnobat Pilajirao Mohite-Patil,18th Century,Seat of the Mohite-Patil family,Easy,0.5,Winter,Not applicable,None,FALSE,A residential fort (gadi) still partly occupied by descendants.
